Name,position,All_star_selections,height,weight,born
Kareem Abdul-Jabbar,C,19,218,102,1947
Kobe Bryant,G,18,198,96,1978
Tim Duncan,F,15,211,113,1976
Kevin Garnett,F,15,211,108,1976
Shaquille O'Neal,C,15,216,147,1972
Jerry West,G,14,188,79,1938
Michael Jordan,G,14,198,88,1963
Karl Malone,F,14,206,113,1963
Bob Cousy,G,13,185,79,1928
John Havlicek,F,13,196,92,1940
Wilt Chamberlain,C,13,216,124,1936
Isiah Thomas,G,12,185,81,1961
Oscar Robertson,G,12,196,92,1938
Magic Johnson,G,12,201,98,1956
Dolph Schayes,F,12,203,99,1928
Larry Bird,F,12,206,99,1956
Elvin Hayes,F,12,206,106,1945
Moses Malone,C,12,208,97,1955
Bill Russell,C,12,208,97,1934
Hakeem Olajuwon,C,12,213,115,1963
Allen Iverson,G,11,183,74,1975
Elgin Baylor,F,11,196,102,1934
Charles Barkley,F,11,198,114,1963
Julius Erving,F,11,201,95,1950
Bob Pettit,F,11,206,92,1932
Chris Bosh,F,11,211,106,1984
Patrick Ewing,C,11,213,108,1962
John Stockton,G,10,185,77,1962
Hal Greer,G,10,188,79,1936
Paul Arizin,F,10,193,86,1928
Jason Kidd,G,10,193,92,1973
Clyde Drexler,G,10,201,95,1962
Paul Pierce,F,10,201,106,1977
Ray Allen,G,10,203,99,1965
David Robinson,C,10,216,106,1965
Lenny Wilkens,G,9,185,81,1937
Gary Payton,G,9,193,81,1968
George Gervin,G,9,201,81,1952
Dominique Wilkins,F,9,201,90,1960
Robert Parish,C,9,213,104,1953
Yao Ming,C,8,229,140,1980
Bill Sharman,G,8,185,79,1926
Steve Nash,G,8,190,88,1974
Dave DeBusschere,F,8,198,99,1940
Rick Barry,F,8,201,92,1944
Alex English,F,8,201,86,1954
Dave Cowens,C,8,206,104,1948
Bob Lanier,C,8,211,113,1948
Dikembe Mutombo,C,8,218,111,1966
Jo Jo White,G,7,191,89,1946
Slater Martin,G,7,178,77,1925
Dick McGuire,G,7,183,81,1926
Dave Bing,G,7,190,81,1943
Walt Frazier,G,7,193,90,1945
Harry Gallatin,F,7,198,95,1927
Chet Walker,F,7,198,96,1940
Grant Hill,F,7,203,102,1972
Jerry Lucas,F,7,203,104,1940
Ed Macauley,C,7,203,83,1928
Tracy McGrady,F,7,203,95,1979
Scottie Pippen,F,7,203,95,1965
Willis Reed,C,7,206,106,1942
James Worthy,F,7,206,102,1961
Kevin McHale,F,7,208,95,1957
Alonzo Mourning,C,7,208,108,1970
Jack Sikma,C,7,211,104,1955
Nate Thurmond,C,7,211,102,1941
Tiny Archibald,G,6,185,68,1948
Joe Dumars,G,6,190,86,1963
Richie Guerin,G,6,193,88,1932
Adrian Dantley,F,6,196,94,1956
Mitch Richmond,G,6,196,97,1965
George Yardley,F,6,196,86,1928
Jack Twyman,F,6,198,95,1934
Tom Heinsohn,F,6,201,98,1934
Bailey Howell,F,6,201,95,1937
Vern Mikkelsen,F,6,201,104,1928
Neil Johnston,C,6,203,95,1929
Artis Gilmore,C,6,218,108,1949
Bobby Wanzer,G,5,183,77,1921
Gail Goodrich,G,5,185,77,1943
Andy Phillip,G,5,188,88,1922
Sidney Moncrief,G,5,190,81,1957
Cliff Hagan,F,5,193,95,1931
Dennis Johnson,G,5,193,83,1954
Sam Jones,G,5,193,89,1933
Paul Westphal,G,5,193,88,1950
Carl Braun,G,5,196,81,1927
Pete Maravich,G,5,196,89,1947
Tom Gola,G,5,198,92,1933
Gus Johnson,F,5,198,104,1938
Chris Mullin,F,5,198,90,1963
Reggie Miller,G,5,201,83,1965
Wes Unseld,C,5,201,111,1946
Wayne Embry,C,5,203,108,1937
Bob McAdoo,C,5,206,95,1951
Chris Webber,F,5,206,111,1973
Guy Rodgers,G,4,183,83,1935
Maurice Cheeks,G,4,185,81,1956
Bob Davies,G,4,185,79,1920
Earl Monroe,G,4,190,83,1944
Jim Pollard,F,4,193,83,1922
David Thompson,G,4,193,88,1954
Billy Cunningham,F,4,198,95,1943
Bob Dandridge,F,4,198,88,1947
Bernard King,F,4,201,92,1956
Connie Hawkins,F,4,203,95,1942
Spencer Haywood,F,4,203,102,1949
Bobby Jones,F,4,206,95,1951
Clyde Lovellette,C,4,206,106,1929
Arnie Risen,C,4,206,90,1924
Ben Wallace,F,4,206,108,1974
George Mikan,C,4,208,111,1924
Walt Bellamy,C,4,211,102,1939
Ralph Sampson,C,4,224,103,1960
Charlie Scott,G,3,196,79,1948
Jamaal Wilkes,F,3,198,86,1953
Maurice Stokes,F,3,201,105,1933
George McGinnis,F,3,203,106,1950
Joe Fulks,F,2,196,86,1921
Dennis Rodman,F,2,201,95,1961
Zelmo Beaty,C,2,206,102,1939
Bill Walton,C,2,211,95,1952
Calvin Murphy,G,1,175,74,1948
Bill Bradley,F,1,196,92,1943
Don Barksdale,F,1,198,90,1923
Nat Clifton,C,1,198,99,1922
Dan Issel,C,1,206,106,1948
Vlade Divac,C,1,216,110,1968
